Date,Harga_BawangPutih_Forecast
2024-10-01,39110.00000741063
2024-10-02,39110.00000741063
2024-10-03,39110.00000741063
2024-10-04,39110.00000741063
2024-10-05,39110.00000741063
2024-10-06,39110.00000741063
2024-10-07,39110.00000741063
2024-10-08,39110.00000741063
2024-10-09,39110.00000741063
2024-10-10,39110.00000741063
2024-10-11,39110.00000741063
2024-10-12,39110.00000741063
2024-10-13,39110.00000741063
2024-10-14,39110.00000741063
2024-10-15,39110.00000741063
2024-10-16,39110.00000741063
2024-10-17,39110.00000741063
2024-10-18,39110.00000741063
2024-10-19,39110.00000741063
2024-10-20,39110.00000741063
2024-10-21,39110.00000741063
2024-10-22,39110.00000741063
2024-10-23,39110.00000741063
2024-10-24,39110.00000741063
2024-10-25,39110.00000741063
2024-10-26,39110.00000741063
2024-10-27,39110.00000741063
2024-10-28,39110.00000741063
2024-10-29,39110.00000741063
2024-10-30,39110.00000741063
2024-10-31,39110.00000741063
2024-11-01,39110.00000741063
2024-11-02,39110.00000741063
2024-11-03,39110.00000741063
2024-11-04,39110.00000741063
2024-11-05,39110.00000741063
2024-11-06,39110.00000741063
2024-11-07,39110.00000741063
2024-11-08,39110.00000741063
2024-11-09,39110.00000741063
2024-11-10,39110.00000741063
2024-11-11,39110.00000741063
2024-11-12,39110.00000741063
2024-11-13,39110.00000741063
2024-11-14,39110.00000741063
2024-11-15,39110.00000741063
2024-11-16,39110.00000741063
2024-11-17,39110.00000741063
2024-11-18,39110.00000741063
2024-11-19,39110.00000741063
2024-11-20,39110.00000741063
2024-11-21,39110.00000741063
2024-11-22,39110.00000741063
2024-11-23,39110.00000741063
2024-11-24,39110.00000741063
2024-11-25,39110.00000741063
2024-11-26,39110.00000741063
2024-11-27,39110.00000741063
2024-11-28,39110.00000741063
2024-11-29,39110.00000741063
2024-11-30,39110.00000741063
2024-12-01,39110.00000741063
2024-12-02,39110.00000741063
2024-12-03,39110.00000741063
2024-12-04,39110.00000741063
2024-12-05,39110.00000741063
2024-12-06,39110.00000741063
2024-12-07,39110.00000741063
2024-12-08,39110.00000741063
2024-12-09,39110.00000741063
2024-12-10,39110.00000741063
2024-12-11,39110.00000741063
2024-12-12,39110.00000741063
2024-12-13,39110.00000741063
2024-12-14,39110.00000741063
2024-12-15,39110.00000741063
2024-12-16,39110.00000741063
2024-12-17,39110.00000741063
2024-12-18,39110.00000741063
2024-12-19,39110.00000741063
2024-12-20,39110.00000741063
2024-12-21,39110.00000741063
2024-12-22,39110.00000741063
2024-12-23,39110.00000741063
2024-12-24,39110.00000741063
2024-12-25,39110.00000741063
2024-12-26,39110.00000741063
2024-12-27,39110.00000741063
2024-12-28,39110.00000741063
2024-12-29,39110.00000741063
2024-12-30,39110.00000741063
2024-12-31,39110.00000741063
